"Speaker Name","Start Time","End Time","Text"
"James Somerton","00:15:31:01","00:15:42:13","Hmm Yeah and kind of seeing and maybe even like seeing that oh they did work out in the end and that kind of gives her like a I could have Yeah, we could have been that."
"Nick Herrgott","00:15:42:14","00:15:53:06","Yeah. It's sort of just entering, answering the question like, you know, like, okay, I have this burning question answered. I can, you know, I have, you know, unfinished business is finished."
"James Somerton","00:15:53:06","00:15:53:14","Yeah."
"Nick Herrgott","00:15:54:03","00:16:02:20","Um, I liked the allusions to trans suicide. Trans and queer suicide. I felt that was just."
"Speaker 2","00:16:04:04","00:16:04:07","Growing."
"Nick Herrgott","00:16:04:09","00:16:06:18","Up a little bit. It hit really hard."
"James Somerton","00:16:06:19","00:16:09:14","Well, yeah, like the the the line was."
"Nick Herrgott","00:16:10:00","00:16:15:07","I don't know what's worse, whether people are constantly thinking he's a monster or whether I want them to drive, you know, whether whether."
"James Somerton","00:16:15:07","00:16:21:09","Everyone in the kingdom wants to drive a sword through me or if some or what's worse Yeah sometimes I wish they would."
"Nick Herrgott","00:16:21:09","00:16:22:07","And then she kind of like."
"James Somerton","00:16:22:12","00:16:23:18","And then in the end, she."
"Nick Herrgott","00:16:23:18","00:16:31:19","She props herself up against a giant statue with her heart at the point of a sword sort of aiming to do that. Yeah, I feel bad for spoilers."
"James Somerton","00:16:32:11","00:16:33:15","Well, we said there would be."
"Nick Herrgott","00:16:33:15","00:16:36:18","Okay, let's go watch it. It's too late now."
"James Somerton","00:16:36:23","00:16:54:03","Know like, I got, like, kind of emotional when that was happening because like, yeah, I. For what? I wasn't expecting it to go that hard as a kid. I also like, I mean, I was shocked that there were, you know, guys holding hands, let alone guys kissing in the end. But like, the actual like that wasn't even a suicide allegory."
"Nick Herrgott","00:16:54:05","00:16:54:15","No, no, no."
"James Somerton","00:16:54:15","00:16:57:01","Her saying, like, sometimes I wish I was dead."
"Nick Herrgott","00:16:57:01","00:17:04:20","Exploring the reasons and purposes for queer suicide. And this is something that I've discussed with some people in my personal life about, like why this happens."
"James Somerton","00:17:04:20","00:17:06:17","But feeling very disconnected from."
"Nick Herrgott","00:17:06:17","00:17:08:13","Her, different from, you know."
"James Somerton","00:17:09:00","00:17:09:15","Just being their."
"Nick Herrgott","00:17:09:15","00:17:12:06","Forms of suicide. Like it's it's, it's."
"James Somerton","00:17:12:13","00:17:31:17","It's, it's different from the and trigger warning. Yeah. Sorry, sorry, sorry. I'll put that in the description. Yeah. That, you know, there is, you know, suicidal ideation from being depressed and stuff like that. But it's when, when you're queer it's not so much just like general depression, it's."
"Nick Herrgott","00:17:31:23","00:17:34:06","Feel like you don't get it, like you don't belong in the."
"James Somerton","00:17:34:06","00:17:36:12","World. Yeah. Like there is a targeted depression."
"Nick Herrgott","00:17:36:20","00:17:45:15","There's no like and again, like, it's like she's been at this for a thousand years. There's no reprise. Literally every when she gets close to distance herself because she's different, she's a monster."
"James Somerton","00:17:45:15","00:17:45:22","Yeah."
"Nick Herrgott","00:17:45:22","00:17:52:19","So, you know, it's like, what? Is there a point in continuing? Yeah. And that's kind of the ideology that happens for a lot of, you know, queer people."
"James Somerton","00:17:52:22","00:18:10:05","Well, yeah, because it it kind of hangs over you. It's not like the depression that everyone says, you know, you'll go to therapy and things will get better. It's like therapy doesn't make this better. The world needs to get better. Yeah, Yeah. And she at that point in the story, like many queer people, are, like, the world's not getting better."
"Speaker 2","00:18:10:06","00:18:10:13","Yeah."
"James Somerton","00:18:10:22","00:18:17:22","It's like, yeah, there I am not. I've been here for a thousand years and it hasn't gotten better."
"Nick Herrgott","00:18:17:22","00:18:23:20","Another thing that I liked was the queer rage in regards to, you know, she's had enough. So she goes on a tirade and so."
"James Somerton","00:18:23:21","00:18:25:16","That when that's when she turns into the."
"Nick Herrgott","00:18:25:16","00:18:26:18","Kaiju. Yeah, the Chi."
"James Somerton","00:18:26:18","00:18:27:10","Just like."
"Nick Herrgott","00:18:27:10","00:18:46:12","And I all I really, really liked that because so many people kind of comment like, Oh, queer people are just so easily triggered. They're just so angry. Yeah, they want to go on there and peop some people that I'm close to say this like they just want to go on tirades for nothing. They're just so centered, they're so just angry, but they're so offended by everything."
"Nick Herrgott","00:18:46:12","00:18:53:12","And it's like, yeah, you're looking at the fifth act of that. Yeah. You don't know what happened that you're."
"James Somerton","00:18:53:12","00:19:05:01","Looking at the, you're looking at the Twitter interaction. Yeah. Where you know someone was, you know, called a name. Yeah. You're not looking at the 30 years that led up to that."
"Nick Herrgott","00:19:05:01","00:19:05:12","Yeah. Yeah."
"James Somerton","00:19:05:16","00:19:07:01","You're not taking that into account."
"Nick Herrgott","00:19:07:01","00:19:15:15","When you're getting to the point of having that rageful person. And this is why I, you know, Thank you. I dropped my fidget dragon. Um, it."
"James Somerton","00:19:15:15","00:19:16:14","Doesn't make any noise."
"Nick Herrgott","00:19:16:14","00:19:30:05","It's perfectly like I give a lot of empathy and, you know, proxy lenience to people who explode on other people online for, you know, like, oh, all I did was ask what pronouns they were using. It's like."
"James Somerton","00:19:30:21","00:19:33:01","Yeah, but that was the 80th time today."
"Nick Herrgott","00:19:33:07","00:19:51:07","And especially like, and trans people who are patrons or YouTube members can, you know, kind of chime in on this. But yeah I kind of direction for people when you know they can conflated like I just don't know what to do I'm like look at someone if they visibly look like they are trying to present feminine face she her."
"James Somerton","00:19:51:16","00:19:54:02","Or just start with they and let them correct you."
"Nick Herrgott","00:19:54:09","00:20:11:17","That can trigger some uh dysphoria for trans people though, like the kind of back back brain like, oh my God, I mean, not passing like. Yeah, that's so that's why I say if it is very apparent that they're trying to go for feminine use, she her because even if it's a guy, even if it's a guy in drag, you're like, ooh, I'm fishy."
"Speaker 2","00:20:11:23","00:20:12:11","Like, yeah."
"Nick Herrgott","00:20:12:17","00:20:13:06","So like."
"James Somerton","00:20:13:16","00:20:14:23","Ooh, I'm Courtney Act tonight."
"Speaker 2","00:20:14:23","00:20:16:09","Yeah, I'm."
"Nick Herrgott","00:20:16:09","00:20:38:14","Serving Courtney If it looks if they look like they're presenting as masculine used masculine pronouns Yeah it's and I can't quite if it's androgynous if, if it's just a guy with a beard in a skirt use they Yeah. If you are wrong they will correctly correct you. But the important part is it needs to look like you're trying to try."
"Nick Herrgott","00:20:38:15","00:20:42:08","If you see a guy who is, you know, someone who is."
"James Somerton","00:20:42:12","00:20:43:13","You know, and you might see they've."
"Nick Herrgott","00:20:43:13","00:20:48:08","Got masculine features, they've got make, but they've got makeup on, they've got a bit of a shadow and."
"James Somerton","00:20:48:17","00:21:11:18","Look, honestly, like in that kind of situation, like even if it's a situation where it's like someone who is like 100% femme, like just like got the six inch stilettos, like is wearing a miniskirt and everything. And you say she they are very likely to happily correct you as they or he. Yeah, they're not going to get offended because because they know what they're serving."
"Nick Herrgott","00:21:11:18","00:21:23:18","You know what they're serving. You know, people don't people don't get dressed in and dress dressed up in the dark like, yeah, you know, people look at themselves in the mirror when they get dressed. They know what their clothes are. They know what their wardrobe is."
"James Somerton","00:21:23:18","00:21:24:01","Yeah."
"Nick Herrgott","00:21:24:23","00:21:44:00","And like I said, if that's not what they're going for, they'll correct you what the element of when it looks like you're, quote unquote, not trying to do this is when you're trying too hard to correct the other direction. You see that person, they've got the shadow, they've got, you know, so so makeup on, masculine features, broad shoulders, but they're still wearing the dress and the full face of makeup anyway."
"Nick Herrgott","00:21:44:00","00:21:46:10","Yeah. And you say he like it's like, okay, what."
"James Somerton","00:21:46:16","00:21:47:21","They are trying their."
"Nick Herrgott","00:21:47:21","00:21:59:02","Best. What what direction are they going in? Either they're trying their best or they're putting on a pass. Either way, if they're putting on a fast and saying she her, that's going to be endearment. Even if they know like, oh honey, you think I'm passing?"
"James Somerton","00:22:00:12","00:22:01:05","Not today."
"Speaker 2","00:22:03:10","00:22:05:12","But thank thank you. Bless your heart."
"James Somerton","00:22:05:12","00:22:08:20","Like I've been in this since 5 p.m. last."
"Speaker 2","00:22:08:20","00:22:09:04","Time."
"James Somerton","00:22:11:11","00:22:18:11","I've done two shows, Anna and a matinee. Okay he's he's closing a bathroom door."
"Nick Herrgott","00:22:18:17","00:22:21:15","Bathroom door. Oh, God. I bumped into. Okay."
"Speaker 2","00:22:21:20","00:22:22:07","Okay."
"James Somerton","00:22:22:14","00:22:24:17","Yeah, The bathroom door closed properly."
"Nick Herrgott","00:22:25:04","00:22:25:13","Yeah."
"James Somerton","00:22:25:15","00:22:41:18","Okay. But yeah, like, so for the movie, I. I was so shocked watching the movie just how nonchalantly queer it was. Yeah. How at no point was it like, message. Message Like this night to homophobe? It's like, No, he's actually just an ass, so."
"Nick Herrgott","00:22:41:18","00:22:42:23","He's just an asshole."
"James Somerton","00:22:42:23","00:22:44:22","Yeah, he's. He's just a douche nozzle."
"Nick Herrgott","00:22:44:22","00:22:48:05","Like, if you can still be not homophobic and just be an asshole."
"James Somerton","00:22:48:05","00:22:50:18","Yeah, it was like, Yeah, they're gay. Nobody gives a fuck."
"Nick Herrgott","00:22:50:18","00:22:51:12","Nobody cares."
"James Somerton","00:22:51:16","00:23:00:10","Like, there is no issue brought up about it. It's like if if you're if you're a four year old and you're watching this movie, it's oh, those two nights are holding hands."
