"Speaker Name","Start Time","End Time","Text"
"James Somerton","00;08;10;12","00;08;40;18","With mixed signals, few people willing to talk and no leads. The case soon went cold. It wasn't until 2005 that the investigation was reopened. Detective Wendy Baron, after being made head of the Hollywood division of the LAPD Homicide Unit, made a public announcement that, among other cases, she would begin reinvest locating Billy's murder, hoping that advancements in DNA and other crime solving technologies would lead to a break in the case, which she described as her white whale."
"James Somerton","00;08;40;27","00;09;01;29","But a little over a year later, Billy's father, Richard Herriman, told aviation reporter Mikey Ski that the LAPD had once again put Billy's murder on the back burner. He created a public email address where he could be reached with tips or new information regarding the murder of his son in hopes of someone coming forward with new information. In the meantime, he would walk the streets."
"James Somerton","00;09;01;29","00;09;23;06","Billy walked, never giving up on finding Billy's killer. However, Billy's father passed away in 2011, and the email address was not monitored by anyone afterward. For those keeping tabs on what was left of the investigation, mostly journalists working in the adult film industry, this seemed like the end of the road, with Billy's murder taking place at the height of the AIDS epidemic."
"James Somerton","00;09;23;14","00;09;54;23","Most of the people who knew him had long since passed away, so finding new information would be next to impossible until the murder became a topic of discussion for true crime podcasters and bestselling authors Christopher Rice and Eric Shaw. Quinn, who began covering the case on their podcast in August of 2020. What began as a segment of an episode looking at what cases they were obsessed with, inspired by I'll Be Gone in the Dark, an HBO docu series following Michelle McNamara as she investigated the case of the Golden State Killer."
"James Somerton","00;09;54;24","00;10;12;24","It soon turned into a regular feature of their long running podcast, but with 12 episodes eventually being dedicated to the case. Rice, in particular, drove headlong into the mystery. Speaking with the original detectives involved, the few living people who knew Billy and people in the adult industry, he said."
"Speaker 2","00;10;13;07","00;10;33;17","I wanted to talk about it just to create the next generation of people who are maybe as obsessed with it as I was because Diane no spring chicken either. Like, we're all getting older. And I was worried that when I, when we found that his father, who had really kept it going for a long time, had died, I thought, Oh, God, is Billy running out of advocates?"
"James Somerton","00;10;33;20","00;10;59;07","30 years had passed at this point since Billy's gruesome murder, and the only suspect was a long dead serial killer whose involvement was a long shot. Even Billy's performing name, Billy London, had been taken by new performers since his death, making tracking down any information about him or even his filmography online almost impossible. Hoping for a miracle, Christopher and Erik set up an email address where they could be contacted by anyone with information about Billy."
"James Somerton","00;10;59;14","00;11;18;02","This is how Ron Wheeler got in touch with them regarding the Dahmer connection. Within a few months of Christopher and Erik first covering the case, their podcast drew the attention of the LAPD Detective John Lamberti, the detective who had been assigned the cold case, got in touch with the two authors to discuss the case and the possibility of new leads."
"James Somerton","00;11;18;11","00;11;53;02","This brought new resources from the LAPD into the investigation, which had been absent since when de Barron's investigation in the mid 2000. Serendipitously at the same time. Documentarian Rachel Mason, best known for her documentary Circus of Books, was also looking into the murder. Creating an odd collection of advocates and researchers determined to crack the case. But despite their best efforts in November of 2020 to Detective Lamberti said that unless some new piece of information magically appeared, there wasn't much left to look into when it came to Billy's murder."
"James Somerton","00;11;53;22","00;12;25;08","And then, after putting Billy's case back into the archives, he received an email from Rachel Mason with a detailed workup done by her research colleague, Clark Williams. A document that changed everything. Clark Williams, a retired social worker, found himself at a crossroads in life as his daughter embarked on her college career, leaving him an empty nester. Williams pondered what the next chapter of his life would entail, seeking to reconnect with his roots as a young queer man growing up in Wisconsin."
"James Somerton","00;12;25;20","00;12;54;13","He joined a Facebook group known as the History of Gay Wisconsin. It was within this online community that fate intervened. Williams stumbled upon a post by Rachel Mason seeking any information about Billie Newton and the potential link to Jeffrey Dahmer. This post sparked Williams's curiosity, leading him down an unexpectedly dark and winding rabbit hole. To his astonishment, Clark Williams found that he and Billie Newton had grown up in the same Wisconsin town born just one week apart."
"James Somerton","00;12;54;19","00;13;23;05","This newfound connection ignited a fire within Williams, compelling him to uncover the secrets surrounding Billy's life and tragic death. Leveraging his background in social work, Williams embarked on an exhaustive investigation. He reached out to Billy's surviving friends and family, meticulously combed through correspondence between Billie and his loved ones, and even managed to track down elusive school records that could provide crucial insights records that the school board was not supposed to hand over to him."
"James Somerton","00;13;23;18","00;13;49;04","As he delve deeper into Billy's life. Clark unearthed a harrowing narrative of instability and discrimination that mirrored Billy's younger years. Billy's mother's frequent relocations occurring roughly every six months, had forced Billy to change schools, often preventing him from experiencing any semblance of stability and keeping him from making any real friends. Tragic circumstances further marred Billy's life when he came out as gay during his sophomore year of high school."
"James Somerton","00;13;49;09","00;14;14;06","His family's response was devastating. His father kicked him out of his house, saying that he had no son. This act would haunt his father until his death. With no close friends and nowhere to stay. This effectively ended Billy's education and with no other recourse. Billy left Wisconsin behind. William's relentless pursuit of the truth did not stop with Billy's personal history."
"James Somerton","00;14;14;13","00;14;39;16","He expanded his investigation to scrutinize everyone who had ever been considered a suspect in the case. Many of these individuals had passed away over the years, but Williams was determined to leave no stone unturned. One crucial linchpin in this investigation was the adult film industry. Given the absence of digitized records from that era. Williams undertook an effort to order films directly from studio back catalogs and collectors."
"James Somerton","00;14;39;25","00;15;03;09","His goal was to compile a comprehensive list of the people working on any films in which Billy was involved, both in front of and behind the camera. This arduous task required him to uncover their real identities. Check for criminal records and gather other essential details. Amid this research, Williams stumbled upon the name Ric Pesquet, whose involvement in Billy's case raised suspicions."
"James Somerton","00;15;03;28","00;15;31;01","Ric Pesquet, who described himself as a private investigator, had purportedly devoted two decades of his life to unraveling the mystery of Billie Newton's murder. He had even collaborated closely with the LAPD in 2005 when Detective Wendy Barron reopened the case. However, as Williams look deeper into Pesquet, his background, a startling revelation emerged. Pesquet, it turned out, was not a bona fide private investigator, as previously believed."
"James Somerton","00;15;31;15","00;15;58;03","Instead, he had a significant history in the adult film industry spanning over 20 years. His role as an editor at the studio, where Billy's films were produced, piqued Williams curiosity. Clark Williams began examining Rick Pesci's life, much like he had done with Billie Newton. This eventually led him to explore the films Pesci had worked on around the time of Billy's murder, focusing on the individuals who had been part of those productions."
"James Somerton","00;15;58;12","00;16;30;10","One name Billy Houston, caught the attention of Williams contacts within the industry. Further investigation unveiled Houston's true identity, which led Williams to discover that Houston was not only currently incarcerated but serving time for torture and a double homicide Following a trial. Houston had been convicted and sentenced to multiple life sentences. With Houston emerging as a potential suspect. Clark Williams sought to confirm whether this new lead had even been in Los Angeles at the time of Billy's murder."
"James Somerton","00;16;30;20","00;16;57;06","A visit to the Los Angeles County Records Office provided the crucial verification he needed. LAPD arrest records showed Houston's presence in Los Angeles from the fall of 1990 to 1999. Williams soon discovered that Billie Houston's most well-known film, The Devil and Daniel Webster was actually directed by Rick Pasch, and that it seemed at least they were quite close."
"James Somerton","00;16;57;24","00;17;21;13","At the time of Billy's murder, Pesquet was even busy editing a film in a studio, the back door of which opened up directly into the alleyway in which Billy's body was found. Another pivotal moment in Williams investigation occurred when he stumbled upon a book titled American Honor Killings by David McConnell. The book delved into the disturbing phenomenon of queer men who targeted and killed other queer men."
"James Somerton","00;17;21;29","00;17;51;21","Astonishingly, an entire chapter was dedicated to the person once known as Billy Houston. In correspondence with McConnell, this individual admitted to the murder, but also confessed to two other murders, one in Houston, Texas, and another in Los Angeles in 1990 while working in the gay porn industry. However, they were reticent to provide further details during the conversation as it was being recorded by prison CCTV cameras, and they feared the death penalty."
"James Somerton","00;17;52;06","00;18;17;27","The shock didn't end there. Williams research revealed that the person behind the Billy Houston persona had ties to a white supremacist gang, adding an even more sinister layer to the investigation. Realizing the gravity of these new revelations, Clarke Williams decided it was time to pass on his findings to Detective Lamberti. Within 24 hours of Clarke Williams contacting him, Detective Lamberti reached out to him with an unexpected request."
"James Somerton","00;18;18;06","00;18;42;05","Lamberti needed Williams assistance in preparing questions for the suspect, a person who had undergone gender confirmation procedures and now went by the name Darryl Lynn Madden. She had been sentenced to two life sentences for her involvement in a gruesome crime in Oklahoma City. Madden and a fellow skinhead had posed as sex workers and brutally murdered gay man. She had then gone on to murder her partner before being apprehended by law enforcement."
"James Somerton","00;18;42;12","00;19;01;09","When Detective Lamberti and his partner, Tamara, arrived in Oklahoma to meet Madden in prison, they encountered someone entirely different from the person they had expected. Not only had she transitioned, but also converted to Orthodox Judaism. As Detective Lamberti recalled on an episode of the Christopher and Eric podcast."
"Speaker 3","00;19;01;29","00;19;10;14","So we're sitting down with this Nazi skinhead transgender porn actor or Orthodox Jew. Like, I didn't even know how to start."
"James Somerton","00;19;11;01","00;19;33;15","Tamara therefore played a crucial role in establishing a rapport with Madden during their prison visit. She adopted a friendly and personable approach, ensuring to use Madden's preferred pronouns and making every effort to keep her open to conversation. This strategy proved effective as Madden began to open up, ultimately confessing to the murder of Billy Newton on that fateful October night in 1990."
"James Somerton","00;19;33;29","00;19;53;19","During her confession, Madden revealed the horrifying details of the murder that night. She had been driving around West Hollywood with two accomplices, fellow gang members, looking for someone to rob and even kill as an initiation ritual. When they spotted Billy walking down the street, they confronted him, threatened to rob him and told him to get into their car."
"James Somerton","00;19;54;08","00;20;19;11","Fearing for his life, Billy complied. They drove Billy to a secluded location where Madden proceeded to bludgeon him on the back of the head, knocking him out and then strangle him. However, she adamantly refused to admit to the subsequent dismemberment of his body, claiming that she had left the scene after the strangulation. Madden went on to insinuate that the unnamed accomplices must have been responsible for the further desecration of Billy's remains."
"James Somerton","00;20;19;21","00;20;46;14","While Madden's confession shed light on the murder itself, her refusal to name her accomplices left a critical part of the puzzle unresolved. Many officials involved in the case strongly believe that Madden had played a more significant role in the gruesome acts and that she did, in fact, participate in Billy's dismemberment. Though others remain unsure if there were truly other people involved, she said they could understand why she would want to keep them secret."
"James Somerton","00;20;46;28","00;21;14;10","Her silence may have been rooted in the need for self-preservation as being labeled a snitch in prison could endanger her life. Being a transgender woman in a harsh prison environment was challenging enough and revealing her accomplices could further imperil her safety. Derrylin is quoted as saying, I may be a murderer, but I'm not a snitch. Upon returning to Los Angeles, Detective Lamberti presented Madden's confession to the district attorney."
"James Somerton","00;21;14;27","00;21;41;15","However, they declined to prosecute Madden further. Their reasoning was based on the fact that Madden was already serving multiple life sentences in Oklahoma and could potentially recant her confession at any time. This could lead to an expensive trial in California that at best would lead to Madden ending up exactly where she already was. In essence, the legal system had reached a point where justice could not be further served through additional prosecution."
"James Somerton","00;21;42;02","00;22;04;18","Despite the absence of a trial, the LAPD officially closed the case on Billy Newton's tragic death. Billy's surviving family expressed gratitude for the decision not to pursue further legal action. Madden would already spend the rest of her life behind bars and going through the traumatic process of adding another life sentence would only force Billy's family to relive the agonizing pain of their loss."
"James Somerton","00;22;04;28","00;22;27;00","Sitting in the courtroom as crime scene photographs forced them to view the hideous acts Billy had been put through. The one question does remain prominent that of the involvement of Rick Pesquet with his confirmed connection to Madden, and then years of working with the police to find Billy Newton's killer. Was Pesquet honestly trying to help find the people who dismembered Billy?"
"James Somerton","00;22;27;26","00;22;53;22","Or was he purposefully pointing the LAPD in the wrong direction to keep his friend Daryl in safe? It's a question that eats at members of the LAPD. Could this case have been solved years ago had it not been for Pesci's involvement? And what of Madden's two Suppose it accomplices? Did they really exist, or is Madden simply trying to come across as less of a monster?"
"James Somerton","00;22;54;11","00;23;20;21","And if they did help murder and dismember Billy Newton, are they still alive, still on the streets, still killing? These are questions that some involved in the case are not letting go of. But in the meantime, at least there has been some justice for Billy in the years after his murder. Billy's story was really only ever covered by gay porn industry publications and a few gay blogs."
"James Somerton","00;23;21;03","00;23;44;21","That is until 2023, when his story made the front page of the L.A. Times, written by Kevin Rector. The piece detailed the investigation and how two authors, a documentarian and a retired dad with too much free time solved a crime that had spent three decades languishing as a cold case with the LAPD, a group of queer people finding some sort of justice for one of their own."
"James Somerton","00;23;44;22","00;24;08;08","Taken too soon, the story of Billy Newton's murder is a testament to the unwavering dedication of those who refuse to let cold cases remain forgotten through the tireless efforts of individuals like Clark Williams, Christopher Rice, Eric Shaw, Quinn, Rachel Mason, and Detective John Lamberti. The truth can emerge from the shadows. Despite the complexities of the case and the many twists and turns along the way."
"James Somerton","00;24;08;25","00;24;37;09","Justice was ultimately served even without a trial. It is a reminder that no matter how much time has passed, the pursuit of justice can still bring answers and healing. In the end, it is a story of determination, compassion and the power of collective effort, demonstrating that some mysteries can finally be brought to light. Even after decades of darkness."
